CD94*01:01:01	CD94 allele 01:01:01
KIR3DSW22*001_ext|CDS=NHP01042	Killer cell immunoglobulin-like receptor 3DSW22*001
KIR3DSW25*001_ext|CDS=NHP01045	Killer cell immunoglobulin-like receptor 3DSW25*001
KIR3DSW17*001_ext|CDS=NHP01036	Killer cell immunoglobulin-like receptor 3DSW17*001
KIR3DLW16_nov|CDS_99.6%_KIR3DLW16*002	Killer cell immunoglobulin-like receptor 3DLW16
KIR3DL07_nov|CDS_98.8%_KIR3DL07*061	Killer cell immunoglobulin-like receptor 3DL07
KIR3DSW21*002_ext|CDS=NHP01041	Killer cell immunoglobulin-like receptor 3DSW21*002
KIR3DSW21*001_ext|CDS=NHP01040	Killer cell immunoglobulin-like receptor 3DSW21*001
KIR3DSW41_nov|CDS_99.9%_KIR3DSW41*001	Killer cell immunoglobulin-like receptor 3DSW41
KIR3DSW17*003_ext|CDS=NHP01038	Killer cell immunoglobulin-like receptor 3DSW17*003
KIR3DLW03_nov1|CDS_99.6%_KIR3DLW03*004	Killer cell immunoglobulin-like receptor 3DLW03
KIR3DLw12*001_ext|CDS=NHP01014	Killer cell immunoglobulin-like receptor 3DLw12*001
KIR3DSW15_nov|CDS_98.5%_KIR3DSW15*003	Killer cell immunoglobulin-like receptor 3DSW15
KIR3DLW25*002_ext|CDS=NHP01029	Killer cell immunoglobulin-like receptor 3DLW25*002
KIR3DLW12*002_ext|CDS_matches_NCBI-IPD_wrong	Killer cell immunoglobulin-like receptor 3DLW12*002
KIR3DLW25*001_ext|CDS=NHP01028	Killer cell immunoglobulin-like receptor 3DLW25*001
KIR3DLW16*002_ext|CDS=NHP01025	Killer cell immunoglobulin-like receptor 3DLW16*002
KIR2DL04*002:01_ext1|CDS=NHP01049	Killer cell immunoglobulin-like receptor 2DL04*002:01
KIR2DL04*001_ext1|CDS=NHP01048	Killer cell immunoglobulin-like receptor 2DL04*001
KIR3DLW03_nov2|CDS_99.6%_KIR3DLW03*004	Killer cell immunoglobulin-like receptor 3DLW03
KIR2DL04_nov2|CDS_99.7%_KIR2DL04*003	Killer cell immunoglobulin-like receptor 2DL04
KIR2DL04*003_ext|CDS=NHP01050	Killer cell immunoglobulin-like receptor 2DL04*003
KIR2DL04*001_ext2|CDS=NHP01048	Killer cell immunoglobulin-like receptor 2DL04*001
KIR2DL04_nov1|CDS_99.2%_KIR2DL04*028	Killer cell immunoglobulin-like receptor 2DL04
KIR3DLW12*003_ext|CDS=NHP01016	Killer cell immunoglobulin-like receptor 3DLW12*003
KIR2DL04*002:01_ext2|CDS=NHP01049	Killer cell immunoglobulin-like receptor 2DL04*002:01
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIR2DL04*001_ext2|CDS=NHP01048	Killer cell immunoglobulin-like receptor 2DL04*001
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIR1D*030Q_ext1|CDS=NHP00799	Killer cell immunoglobulin-like receptor 1D*030Q
KIR1D*025_ext|CDS=NHP01005	Killer cell immunoglobulin-like receptor 1D*025
KIR1D*030Q_ext2|CDS=NHP00799	Killer cell immunoglobulin-like receptor 1D*030Q
KIR1D*026_ext|CDS=NHP01006-splice_variant	Killer cell immunoglobulin-like receptor 1D*026
KIR1D*024_ext|CDS=NHP01004	Killer cell immunoglobulin-like receptor 1D*024
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIRDP	Killer cell immunoglobulin-like receptor pseudogene
KIR1D*030Q_ext3|CDS=NHP00799	Killer cell immunoglobulin-like receptor 1D*030Q
KIR3DL20*002:01_ext1|CDS=NHP00528	Killer cell immunoglobulin-like receptor 3DL20*002:01
KIR3DL20_nov2|CDS_99.5%_KIR3DL20*009/015	Killer cell immunoglobulin-like receptor 3DL20
KIR3DL20*032_ext|CDS=NHP00555	Killer cell immunoglobulin-like receptor 3DL20*032
KIR3DL20_nov3|CDS_99.8%_KIR3DL20*023	Killer cell immunoglobulin-like receptor 3DL20
KIR3DL20_nov5|CDS_99.8%_KIR3DL20*002:01	Killer cell immunoglobulin-like receptor 3DL20
KIR3DL20_nov1|CDS_99.9%_KIR3DL20*028	Killer cell immunoglobulin-like receptor 3DL20
KIR3DL20_nov4|CDS_99.9%_KIR3DL20*003	Killer cell immunoglobulin-like receptor 3DL20
KIR3DL20*002:01_ext2|CDS=NHP00528	Killer cell immunoglobulin-like receptor 3DL20*002:01
LILRA8	Leukocyte immunoglobulin-like receptor A8
LILRA8	Leukocyte immunoglobulin-like receptor A8
LILRA8	Leukocyte immunoglobulin-like receptor A8
LILRA8	Leukocyte immunoglobulin-like receptor A8
LILRA8	Leukocyte immunoglobulin-like receptor A8
